Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
21,Yes,Travel_Rarely,157,Research & Development,23,2,Medical,1,1,2,Female,68,1,1,Human Resources,3,Married,3494,13700,0,Y,Yes,20,3,1,80,3,5,4,2,4,2,1,3
51,No,Travel_Rarely,969,Research & Development,16,4,Technical Degree,1,2,3,Male,89,3,3,Sales Representative,3,Married,10333,16607,4,Y,No,15,3,3,80,0,22,2,2,16,11,6,14
46,No,Travel_Frequently,1374,Sales,4,1,Life Sciences,1,3,2,Female,61,3,3,Laboratory Technician,4,Single,8085,3501,2,Y,No,11,3,1,80,3,15,6,3,11,9,2,3
36,No,Travel_Rarely,273,Research & Development,14,5,Life Sciences,1,4,3,Female,81,4,2,Sales Executive,2,Single,5187,14677,2,Y,Yes,25,3,3,80,0,12,5,2,6,5,0,2
36,No,Travel_Rarely,686,Sales,6,3,Marketing,1,5,4,Male,32,3,2,Laboratory Technician,4,Single,3952,3459,0,Y,Yes,12,3,1,80,0,12,3,2,6,2,3,2
54,No,Travel_Rarely,200,Research & Development,22,3,Medical,1,6,1,Female,55,2,4,Research Scientist,3,Single,13350,19357,4,Y,No,15,4,4,80,0,24,4,1,12,10,6,8
21,No,Travel_Frequently,252,Research & Development,7,1,Medical,1,7,2,Male,62,3,1,Sales Executive,1,Married,3850,15151,0,Y,No,18,3,2,80,0,4,6,1,1,0,0,1
47,No,Travel_Rarely,1458,Sales,25,3,Marketing,1,8,1,Female,35,1,3,Sales Executive,1,Divorced,10395,17959,2,Y,No,16,3,3,80,0,17,2,4,13,5,1,7
26,Yes,Travel_Rarely,451,Sales,24,1,Technical Degree,1,9,4,Male,48,2,2,Sales Executive,2,Single,5148,10437,0,Y,No,13,3,3,80,1,5,6,1,0,0,0,0
22,No,Travel_Rarely,341,Research & Development,17,5,Medical,1,10,1,Male,77,1,1,Sales Executive,2,Single,2041,7077,0,Y,Yes,14,3,4,80,1,1,0,1,1,0,0,1
40,No,Travel_Rarely,1352,Sales,7,4,Other,1,11,3,Male,78,1,4,Manager,1,Married,14084,18965,1,Y,No,21,3,2,80,1,7,5,4,7,2,2,1
59,No,Travel_Rarely,479,Research & Development,10,3,Medical,1,12,1,Male,31,2,4,Laboratory Technician,1,Married,12062,3476,0,Y,No,11,3,2,80,3,24,4,4,20,13,9,5
