Feature,Importance
OverTime_Yes,0.1132064752912703
WorkLifeBalance,0.056490090321779575
JobLevel,0.04059071633423428
JobSatisfaction,0.03948990265600236
EnvironmentSatisfaction,0.036433146725471745
Education,0.03616457443140998
YearsSinceLastPromotion,0.03541833512108909
JobInvolvement,0.029322423962480394
OverallSatisfaction,0.02877171923283815
TotalWorkingYears,0.028024000768758214
Age,0.02699034152573313
MonthlyIncome,0.026413016983761476
DistanceFromHome,0.025982769877395277
MaritalStatus_Married,0.02546101037313988
CareerGrowthScore,0.023650959194779025
Gender_Male,0.023431740029673284
StockOptionLevel,0.023199192833006328
HourlyRate,0.022933025377472268
MonthlyRate,0.022594627070635948
NumCompaniesWorked,0.022066905701276385
MaritalStatus_Single,0.021652723482504778
YearsAtCompany,0.021400573264841887
DailyRate,0.021161094343310358
TrainingTimesLastYear,0.020092773082609577
YearsInCurrentRole,0.01985208242246769
RelationshipSatisfaction,0.01802715882771463
YearsWithCurrManager,0.01708400223991167
EducationField_Life Sciences,0.016274166789266676
CompanyExperienceRatio,0.016075994717585293
PercentSalaryHike,0.015951601155889127
SalaryLevel_Medium,0.011570790960964163
BusinessTravel_Travel_Rarely,0.008830562276003536
EducationField_Medical,0.008594522475856865
Department_Sales,0.007948340636465297
PerformanceRating,0.0076648965105193525
Department_Research & Development,0.007649331876301176
JobRole_Sales Executive,0.0070444176606629496
SalaryLevel_Very High,0.0070131547491314485
TenureLevel_Short Term,0.006484334458449651
TenureLevel_Experienced,0.005783668190149482
SalaryLevel_High,0.00563052305226242
BusinessTravel_Travel_Frequently,0.004939489344922586
JobRole_Human Resources,0.004601432963584572
JobRole_Manager,0.004509492967974256
EducationField_Marketing,0.0041224508653105564
EducationField_Technical Degree,0.003954577460875907
JobRole_Laboratory Technician,0.003926600414057768
JobRole_Research Scientist,0.003765280991239531
TenureLevel_Long Term,0.0035728252465014637
JobRole_Sales Representative,0.002913584448964466
JobRole_Manufacturing Director,0.002143128512402392
EducationField_Other,0.0016128913520414396
JobRole_Research Director,0.0015165584470499835
