Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverallSatisfaction,CareerGrowthScore,CompanyExperienceRatio,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,SalaryLevel_Medium,SalaryLevel_High,SalaryLevel_Very High,TenureLevel_Short Term,TenureLevel_Experienced,TenureLevel_Long Term
21,1,157,23,2,2,68,1,1,3,3494,13700,0,20,3,1,3,5,4,2,4,2,1,3,2.0,4,0.6666666666666666,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
51,0,969,16,4,3,89,3,3,3,10333,16607,4,15,3,3,0,22,2,2,16,11,6,14,2.75,20,0.6956521739130435,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True
46,0,1374,4,1,2,61,3,3,4,8085,3501,2,11,3,1,3,15,6,3,11,9,2,3,2.5,14,0.6875,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
36,0,273,14,5,3,81,4,2,2,5187,14677,2,25,3,3,0,12,5,2,6,5,0,2,2.5,7,0.46153846153846156,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,True,False
36,0,686,6,3,4,32,3,2,4,3952,3459,0,12,3,1,0,12,3,2,6,2,3,2,2.75,7,0.46153846153846156,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
54,0,200,22,3,1,55,2,4,3,13350,19357,4,15,4,4,0,24,4,1,12,10,6,8,2.25,20,0.48,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
21,0,252,7,1,2,62,3,1,1,3850,15151,0,18,3,2,0,4,6,1,1,0,0,1,1.5,1,0.2,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
47,0,1458,25,3,1,35,1,3,1,10395,17959,2,16,3,3,0,17,2,4,13,5,1,7,2.25,9,0.7222222222222222,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
26,1,451,24,1,4,48,2,2,2,5148,10437,0,13,3,3,1,5,6,1,0,0,0,0,2.5,2,0.0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
22,0,341,17,5,1,77,1,1,2,2041,7077,0,14,3,4,1,1,0,1,1,0,0,1,2.0,1,0.5,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
40,0,1352,7,4,3,78,1,4,1,14084,18965,1,21,3,2,1,7,5,4,7,2,2,1,2.5,8,0.875,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False
59,0,479,10,3,1,31,2,4,1,12062,3476,0,11,3,2,3,24,4,4,20,13,9,5,2.0,26,0.8,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
49,0,490,11,5,2,48,1,4,3,15483,14131,0,11,3,3,2,12,4,1,7,2,1,3,2.25,7,0.5384615384615384,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
50,0,1277,13,5,4,61,1,3,4,7023,8810,3,15,3,1,0,19,4,4,14,9,3,7,3.25,15,0.7,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True
48,0,1161,26,1,4,49,4,4,1,14377,10943,2,25,3,3,0,16,3,3,7,2,1,2,2.75,7,0.4117647058823529,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
51,0,877,9,1,1,33,4,5,1,19359,12834,3,13,3,2,3,20,1,2,15,10,3,12,1.5,18,0.7142857142857143,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
40,0,1286,22,2,3,32,3,5,3,19753,13516,0,20,3,4,1,10,1,1,9,4,3,6,2.75,12,0.8181818181818182,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
23,0,418,4,1,1,69,4,2,1,5807,7281,2,16,3,3,3,1,6,4,0,0,0,0,2.25,2,0.0,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
54,0,1215,7,3,3,56,1,5,4,19003,5231,4,18,3,4,3,19,2,3,9,6,5,7,3.5,16,0.45,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
37,0,1030,6,3,3,69,4,4,3,14514,14108,0,14,3,4,3,9,1,2,5,4,2,3,3.0,10,0.5,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False
39,0,899,22,3,4,80,2,3,2,9502,9150,3,24,3,1,0,7,0,2,7,6,1,5,2.25,10,0.875,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
33,0,621,29,1,4,67,2,3,3,10656,3008,0,17,3,3,3,15,2,2,10,5,3,7,3.0,11,0.625,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
25,1,269,8,5,2,69,4,2,1,4177,23437,1,11,3,3,3,2,5,2,2,2,0,1,2.0,4,0.6666666666666666,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
57,0,914,6,5,1,80,2,5,2,16793,13976,5,15,4,2,3,16,2,4,6,4,1,4,2.25,10,0.35294117647058826,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
51,0,1223,10,3,2,42,3,4,3,12144,4309,1,15,3,1,2,16,3,1,4,3,1,3,1.75,8,0.23529411764705882,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
45,0,237,6,1,1,46,2,2,4,3324,10848,3,24,3,2,0,18,4,2,18,4,2,12,2.25,8,0.9473684210526315,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
35,0,326,8,2,1,81,3,3,4,7060,5053,1,11,3,1,1,2,4,3,1,0,0,1,2.25,3,0.3333333333333333,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
53,1,1331,10,4,3,47,1,3,3,6908,25980,3,15,3,4,1,21,0,1,8,2,1,2,2.75,6,0.36363636363636365,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
41,0,1308,10,4,4,92,1,2,2,5000,14137,2,13,3,1,1,9,2,3,9,7,1,7,2.5,10,0.9,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
37,0,933,3,2,3,59,3,3,4,9526,23928,2,13,3,1,1,11,4,3,11,3,4,5,2.75,10,0.9166666666666666,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True
37,0,742,8,5,3,35,4,2,1,6252,10608,1,25,3,1,3,8,4,3,3,1,2,2,2.0,5,0.3333333333333333,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False
27,0,108,29,5,3,79,1,2,2,4753,25781,3,22,3,1,1,13,2,3,9,5,3,6,2.25,10,0.6428571428571429,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False
21,0,1375,3,3,4,60,3,1,2,2357,25345,1,25,3,1,1,3,1,2,2,2,1,1,2.25,4,0.5,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
41,0,883,13,2,1,38,1,3,3,10913,18502,4,23,4,3,1,9,1,3,6,4,2,2,2.5,9,0.6,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
56,0,213,12,3,3,45,3,4,3,14714,12515,1,23,3,1,2,18,0,4,4,3,1,3,2.75,8,0.21052631578947367,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False
20,0,607,29,1,4,92,4,2,2,5707,26300,0,19,3,3,1,3,0,2,3,1,1,1,2.75,4,0.75,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
54,0,1268,13,3,1,62,2,4,4,14146,16352,3,18,3,2,3,18,6,2,8,7,1,3,2.25,12,0.42105263157894735,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
53,0,1367,29,1,3,47,4,4,2,13653,6813,1,16,3,2,3,19,2,3,14,3,1,3,2.5,8,0.7,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
29,0,991,13,1,1,68,2,1,3,5404,3848,0,12,3,3,1,6,2,1,4,2,2,2,2.0,5,0.5714285714285714,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False
45,0,295,8,3,4,39,4,3,1,8272,15353,1,23,3,1,1,9,3,2,9,5,3,2,2.0,11,0.9,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False
25,0,326,13,3,3,57,3,2,1,5679,8265,0,16,3,3,3,3,3,1,0,0,0,0,2.0,2,0.0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
50,1,568,4,5,4,72,2,5,1,17021,20602,4,21,3,3,3,18,0,2,14,9,2,11,2.5,16,0.7368421052631579,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True
48,0,1167,14,3,2,97,2,3,1,7736,15777,1,25,3,3,3,13,6,1,9,6,4,4,1.75,13,0.6428571428571429,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
33,0,1170,8,5,3,49,4,2,4,4839,14106,1,16,3,1,0,11,3,1,7,2,1,5,2.25,5,0.5833333333333334,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
20,0,1148,8,5,4,88,2,1,3,3584,9114,1,13,3,1,0,3,3,2,3,1,1,1,2.5,3,0.75,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
59,0,416,23,2,1,59,2,4,4,13070,7417,1,16,3,1,2,19,3,3,14,4,7,4,2.25,15,0.7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True
